Row,Col,Count
0,104,742
0,106,741
0,114,2772
0,116,2767
0,118,2764
0,119,1245
0,120,1039
0,122,2460
0,125,2189
0,127,2202
0,128,2198
0,137,2767
1,74,2221
1,91,1838
1,102,2763
1,117,2766
1,119,2456
1,120,2487
1,121,2462
1,132,2203
1,149,2769
1,150,2214
2,79,2618
2,99,2763
2,101,2205
2,106,2766
2,107,740
2,117,2765
2,118,1444
2,119,2275
2,120,1970
2,121,2389
2,122,1577
2,123,2764
2,130,2764
2,146,2765
2,156,2207
2,162,1582
3,55,685
3,64,2765
3,74,1967
3,85,2765
3,115,2766
3,118,2354
3,120,1991
3,121,2766
3,145,2709
3,150,2185
4,57,1491
4,58,75
4,85,2221
4,93,2472
4,99,1505
4,111,2545
4,117,2761
4,121,1719
4,125,2765
4,130,2769
4,141,2767
4,144,2764
4,145,2764
5,104,2211
5,106,2764
5,109,2230
5,114,2766
5,121,2765
5,157,2056
5,162,2056
6,86,2215
6,95,2224
6,112,2206
6,116,2764
6,118,2767
6,124,2764
6,130,1197
6,133,2766
7,67,2053
7,108,2206
7,109,2162
7,115,2147
7,127,2765
7,138,1149
8,88,2734
8,96,2765
8,99,2765
8,100,1448
8,103,478
8,104,833
8,111,2494
8,122,2764
9,101,2229
9,102,2239
9,106,833
9,108,2765
9,109,2221
9,119,2765
9,120,2764
9,131,2768
9,133,2764
9,142,1266
9,150,2767
10,98,2760
10,99,565
10,107,2211
10,108,1421
10,111,318
10,113,2348
10,117,2764
10,128,2766
10,134,2766
10,136,2765
10,144,310
11,94,1513
11,105,1512
11,106,2230
11,116,1505
11,124,2765
12,96,1507
12,107,2766
12,116,2649
12,117,2223
12,119,2765
12,134,2765
13,98,1480
13,104,2184
13,107,86
13,110,1481
13,111,2206
13,115,2161
13,120,2766
13,132,2761
13,137,2766
14,87,2677
14,90,2768
14,93,1480
14,114,2429
14,127,2230
14,130,2766
14,134,2763
14,136,2761
15,100,2767
15,110,1477
15,115,2226
15,138,2765
16,96,2768
16,105,2215
16,109,2191
16,110,702
16,135,2760
17,115,2796
17,118,2194
17,132,2767
18,98,1490
18,102,2788
18,116,1506
18,134,2765
18,139,2768
19,108,2768
19,112,1691
19,113,2182
19,126,2769
20,91,1998
20,103,1890
20,104,1980
20,135,2783
21,98,1404
21,102,2219
21,109,2204
21,129,2768
22,103,1488
22,111,2677
23,101,2768
23,112,1525
23,122,2765
24,106,1869
24,167,311
25,112,2372
25,121,2235
26,103,2766
26,106,535
26,110,1720
26,124,2185
27,101,2672
27,114,2671
27,118,2155
27,119,2179
28,106,2202
28,113,2768
28,117,1869
29,114,2675
30,103,1492
30,107,847
30,110,2675
30,122,1948
31,102,1492
31,107,970
32,105,1489
32,107,1482
32,112,2192
32,114,2075
32,120,1488
33,110,726
34,101,411
35,98,1242
35,105,344
35,113,2009
36,77,1514
36,109,827
36,115,2678
37,81,1741
37,92,1502
37,99,2238
37,113,2141
37,116,2198
38,87,2768
38,96,801
38,99,484
39,78,2188
39,83,2802
39,114,898
40,98,2214
41,100,1119
42,77,1338
42,78,2199
42,80,1411
42,92,2182
42,101,419
42,112,668
42,116,436
43,91,1132
43,106,2768
43,107,1378
43,116,1484
43,118,2192
44,73,2051
44,87,2222
44,88,1064
44,104,2240
45,112,1864
45,117,1414
46,79,1519
46,97,1407
46,103,2721
47,104,724
48,86,1407
48,91,1868
49,94,1508
49,96,72
49,111,1605
50,96,1895
50,108,1571
50,115,609
51,93,1905
51,96,2227
51,101,783
51,106,2233
51,110,2238
51,111,2199
52,100,2008
53,98,741
53,107,2209
53,109,731
54,102,2766
55,107,2769
55,114,1176
56,104,1325
56,105,2769
57,104,2091
57,110,797
57,115,2161
58,105,2203
58,117,1808
60,107,2175
60,111,1940
60,112,804
60,117,2208
61,109,1615
61,115,864
63,104,311
63,109,1096
63,115,2660
64,118,921
65,108,2777
65,110,2765
65,114,2766
65,119,1580
66,107,2331
66,110,2124
66,113,2765
66,114,397
66,119,1225
67,119,1669
67,121,2499
68,114,2767
68,118,1105
68,122,2212
69,113,2230
69,120,1106
69,121,1080
70,114,2204
70,122,1017
71,123,646
71,125,1783
72,114,2212
72,116,1102
72,118,1114
73,116,2785
73,128,2021
75,119,2769
75,125,1560
76,116,661
76,122,2271
76,127,1093
76,130,1761
76,134,1099
77,128,2233
77,131,2195
78,130,906
79,125,680
79,130,650
79,133,2158
80,120,2378
80,125,677
82,119,2766
82,124,670
82,127,2187
82,129,669
83,128,2226
83,135,652
84,124,2512
84,137,650
86,131,2801
87,132,2771
87,136,2216
